rank,title,inf_ad_bo
1,Gone with the Wind  ,1640602400
2,Star Wars   ,1446331100
3,The Sound of Music  ,1156412900
4,E.T.: The Extra-Terrestrial ,1151857200
5,Titanic ,1100052700
6,The Ten Commandments    ,1063720000
7,Jaws    ,1040000000
8,Doctor Zhivago  ,1007979900
9,The Exorcist    ,898065200
10,Snow White and the Seven Dwarfs ,885080000
11,101 Dalmatians  ,811328100
12,The Empire Strikes Back ,797226800
13,Ben-Hur ,795760000
14,Avatar  ,789712800
15,Return of the Jedi  ,763762400
16,Jurassic Park   ,746406300
17,Star Wars: Episode I - The Phantom Menace   ,733334000
18,The Lion King   ,723868900
19,The Sting   ,723840000
20,Raiders of the Lost Ark ,718837500
21,The Graduate    ,694883200
22,Fantasia    ,674313000
23,The Godfather   ,640851200
24,Forrest Gump    ,638334000
25,Mary Poppins    ,634836400
26,Grease  ,624989900
27,Marvel's The Avengers   ,623357900
28,Thunderball ,607376000
29,The Dark Knight ,604577500
30,The Jungle Book ,598280900
31,Sleeping Beauty ,590129600
32,Ghostbusters    ,577822700
33,Shrek 2 ,576933500
34,Butch Cassidy and the Sundance Kid  ,572929800
35,Love Story  ,568384900
36,Spider-Man  ,564216100
37,Independence Day    ,562463300
38,Home Alone  ,550001700
39,Pinocchio   ,547315100
40,Cleopatra (1963)    ,545529700
41,Beverly Hills Cop   ,545258100
42,Goldfinger  ,538356000
43,Airport ,536823600
44,American Graffiti   ,533600000
45,The Robe    ,531490900
46,Pirates of the Caribbean: Dead Man's Chest  ,524782300
47,Around the World in 80 Days ,524676900
48,Bambi   ,517345100
49,Blazing Saddles ,513505700
50,Batman  ,511191500
51,The Bells of St. Mary's ,509490200
52,The Lord of the Rings: The Return of the King   ,500514300
53,Finding Nemo    ,500386000
54,The Towering Inferno    ,498370400
55,Spider-Man 2    ,488489000
56,My Fair Lady    ,487200000
57,The Greatest Show on Earth  ,487200000
58,National Lampoon's Animal House ,486309000
59,The Passion of the Christ   ,484803300
60,Star Wars: Episode III - Revenge of the Sith    ,481715600
61,Back to the Future  ,479491300
62,The Lord of the Rings: The Two Towers   ,468729300
63,The Dark Knight Rises   ,467723600
64,The Sixth Sense ,467542500
65,Superman    ,465748000
66,Tootsie ,462060000
67,Smokey and the Bandit   ,461483400
68,West Side Story ,454478700
69,Harry Potter and the Sorcerer's Stone   ,454013400
70,Lady and the Tramp  ,452567300
71,Close Encounters of the Third Kind  ,451273400
72,Lawrence of Arabia  ,449714400
73,The Rocky Horror Picture Show   ,447163700
74,Rocky   ,446924600
75,The Best Years of Our Lives ,446600000
76,The Poseidon Adventure  ,445803900
77,The Lord of the Rings: The Fellowship of the Ring   ,444970100
78,Twister ,444067600
79,Men in Black    ,443487400
80,The Bridge on the River Kwai    ,441728000
81,Transformers: Revenge of the Fallen ,437675500
82,It's a Mad Mad Mad Mad World ,437468400
83,Swiss Family Robinson   ,436921000
84,One Flew Over the Cuckoo's Nest ,435925100
85,M.A.S.H.    ,435915800
86,Indiana Jones and the Temple of Doom    ,434686500
87,Star Wars: Episode II - Attack of the Clones    ,434164000
88,Mrs. Doubtfire  ,427797200
89,Aladdin ,425831900
90,Toy Story 3 ,423879200
91,Ghost   ,417897600
92,The Hunger Games: Catching Fire ,415050900
93,Duel in the Sun ,414285700
94,The Hunger Games    ,412807000
95,Pirates of the Caribbean: The Curse of the Black Pearl  ,411269000
96,House of Wax    ,410319100
97,Rear Window ,408880500
98,The Lost World: Jurassic Park   ,405268800
99,Indiana Jones and the Last Crusade  ,401261900
100,Monsters Inc.  ,400760700
101,Frozen  ,398212300
102,Spider-Man 3    ,397184000
103,Iron Man 3  ,396323800
104,Terminator 2: Judgment Day  ,395089800
105,Sergeant York   ,390760300
106,How the Grinch Stole Christmas  ,390627400
107,Top Gun ,389963600
